ISELL_ORDER_NUMBER,PICK_ID,ARTNO,ARTNAME_UNICODE,ORDER_TYPE,PICK_AREA
1352311697,60326,30238543,BUMERANGhangernatural8-p,Collect,Markethall
1352311697,60326,60474425,STUKboxwcomp20x34x10white,Collect,Markethall
1352311697,60327,10429973,MALMNglasstop40x48white,Collect,SelfServe
1352311697,60327,60403602,MALMNchest/6drw80x123whiteN,Collect,SelfServe
1352311697,60327,80214549,MALMchest/2drw40x55whiteN,Collect,SelfServe
1352308620,60328,458697,IDANSchest/6drw84x135darkbrownstained,Truck,SelfServe
1352308620,60328,50458831,IDANSwrd121x211darkbrownstained,Truck,SelfServe
1352308620,60329,60185034,EKTORPNNNfrmso2GB,Truck,FullServeinternal
1352308620,60329,90472340,EKTORPcvrfso2TotebodarkturquoiseGB,Truck,FullServeinternal
1352312847,60330,343003,MOPSIGcutleryset16pcs,Collect,Markethall
1352312847,60330,461379,KALASNNmugmixedcolours,Collect,Markethall
1352312847,60330,10270478,POKALNNglass35clclearglass,Collect,Markethall
1352312847,60330,20476346,RINNIGteatowel45x60whidgrey/patterned4-p,Collect,Markethall
1352312847,60330,40458600,FAVORISERAservices12white,Collect,Markethall
1352312847,60330,70392844,TRDKRASSULAdc/pwc150x200/50x80white/blue,Collect,Markethall
1352312847,60330,80435942,FULLNDADkitchenuts5grey,Collect,Markethall
1352312847,60330,80461380,KALASNNplatemixedcolours6-p,Collect,Markethall
1352312847,60330,90207402,ANNONScookwares5glass/stainlesssteel,Collect,Markethall
1348913559,60331,80214568,PAXwrdfrm50x58x236whiteN,Customer,FullServeinternal
1348913559,60331,30277959,KOMPLshelf50x58white,Customer,FullServeinternal
1348913559,60331,30214504,KOMPLsoftclsnghinge4-p,Customer,FullServeinternal
1348913559,60331,10442385,FORSANDNdoor50x229white,Customer,FullServeinternal
1348913559,60331,20214571,PAXwrdfrm75x58x236whiteN,Customer,FullServeinternal
1348913559,60331,90277961,KOMPLshelf75x58white,Customer,FullServeinternal
1348913559,60331,40256895,KOMPLclothesrail75white,Customer,FullServeinternal
1348913559,60331,30263245,KOMPLp-outrailfbskt58white2-p,Customer,FullServeinternal
1348913559,60331,20257315,KOMPLmeshbskt75x58white,Customer,FullServeinternal
1348913559,60331,10301125,VIKEDALNdoor25x229mirrorglass,Customer,FullServeinternal
1352313426,60332,10492455,TJABBAmagazfilewhite2-p,Collect,Markethall
1352313426,60333,70261131,GERSBYbookcs60x180white,Collect,SelfServe
1352313913,60335,40534562,DUNDERGUBBEmovingbox64x34x40cm/80lbrown,Collect,Markethall
1347167339,60334,70277981,KOMPLshelf50x58wsoeff,Customer,FullServeinternal
1347167339,60334,50277977,KOMPLshelf75x58wsoeff,Customer,FullServeinternal
1350831813,60336,90027972,NYTTIGFIL559charcoalfltr,Customer,FullServeinternal
1352313822,60337,445332,MLLSTENtoppartoutfloordeck0.81mgy/wh9-p,Truck,SelfServe
1352313822,60337,510308,"NMMARtable,out75x63lightbrownstained",Truck,SelfServe
1352313822,60337,10391772,FRSNcvrbackcshn62x44outdoorbeigeGB,Truck,SelfServe
1352313822,60337,10510299,NMMARseatsecfmodsofaoutlbrwnstnd,Truck,SelfServe
1352313822,60337,30391766,FRSNcvrseatcshn62x62outdoorbeigeGB,Truck,SelfServe
1352313822,60337,30409295,KOLBJRNcabinetin/out80x81beige,Truck,SelfServe
1352313822,60337,40391836,DUVHOLMENinnerbckcshn62x44outdooroff-whiGB,Truck,SelfServe
1352313822,60337,40456286,MLLSTENbottompartoutflodeck0.81mdgrey,Truck,SelfServe
1352313822,60337,40510306,NMMARloungechroutlightbrownstained,Truck,SelfServe
1352313822,60337,50396094,KUGGparasolfrm300tilting/grey,Truck,SelfServe
1352313822,60337,50494141,RUNNENNedgingstripoutflrdeck4pcsdgrey4-p,Truck,SelfServe
1352313822,60337,60396121,LINDJAparasolcanp300beige,Truck,SelfServe
1352313822,60337,60409294,KOLBJRNshlvngunitin/out80x81beige,Truck,SelfServe
1352313822,60337,60518486,"RUNNENfloordeck,out0.81macacia9-p",Truck,SelfServe
1352313822,60337,70510300,"NMMARstool,out37x45foldable/lbrwnstnd",Truck,SelfServe
1352313822,60337,90391853,DUVHOLMENinnerseatcshn62x62outdooroff-whiGB,Truck,SelfServe
1352313822,60337,90511105,"NMMARchrwarmrsts,outlightbrownstained",Truck,SelfServe
1352312647,60338,347510,ENERYDAknob27mmchrome-plated2-p,Truck,SelfServe
1352312647,60339,214505,KOMPLsoftclsnghinge3-p,Truck,FullServeinternal
1352312647,60339,20214566,PAXwrdfrm100x58x201whiteN,Truck,FullServeinternal
1352312647,60339,40256942,KOMPLclothesrail50darkgrey,Truck,FullServeinternal
1352312647,60339,70214559,PAXwrdfrm50x58x201whiteN,Truck,FullServeinternal
1352312647,60339,80256940,KOMPLclothesrail100darkgrey,Truck,FullServeinternal
1352312647,60339,90510945,BERGSBOdoor50x195beige,Truck,FullServeinternal
1350778099,60341,257298,KOMPLmeshbskt100x58white,Customer,FullServeinternal
1350778099,60341,30263245,KOMPLp-outrailfbskt58white2-p,Customer,FullServeinternal
1352314474,60340,20214731,BRANSlaundbskt/lng80lrattan,Collect,Markethall
1352315399,60342,70292104,MOSSLANDApictureledge115black,Collect,Markethall
1352315399,60343,30351746,MICKEdrawerunitoncastors35x75oakeffect,Collect,SelfServe
1352315399,60343,40351741,MICKEdesk105x50oakeffect,Collect,SelfServe
1352315944,60344,80275887,KALLAXshelvingunit77x147white,Collect,SelfServe
1352316246,60345,80094014,REKOglass17clclearglass6-p,Collect,Markethall
1350806384,60346,50214560,PAXwrdfrm100x58x236whiteN,Customer,FullServeinternal
1352316957,60348,10269696,SUNDVIKwardrobe80x50x171white,Truck,SelfServe
